"165. Lock, Stock and Two Smoking Barrels",1998,1h 47m,A,8.1
166. El Secreto De Sus Ojos,2009,2h 9m,R,8.2
167. Raging Bull,1980,2h 9m,A,8.1
168. Inside Out,2015,1h 35m,U,8.1
"169. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,A,8.1
170. Trainspotting,1996,1h 33m,A,8.1
171. The Bridge on the River Kwai,1957,2h 41m,U,8.1
172. Spider-Man: No Way Home,2021,2h 28m,UA,8.2
173. Fargo,1996,1h 38m,A,8.1
174. Godzilla Minus One,2023,2h 4m,PG-13,8.3
175. Warrior,2011,2h 20m,UA,8.1
176. Klaus,2019,1h 36m,7,8.2
177. Catch Me If You Can,2002,2h 21m,A,8.1
178. Gran Torino,2008,1h 56m,UA,8.1
179. My Neighbour Totoro,1988,1h 26m,U,8.1
180. Million Dollar Baby,2004,2h 12m,UA,8.1
181. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,UA,8.1
182. Bacheha-Ye Aseman,1997,1h 29m,PG,8.2
183. Blade Runner,1982,1h 57m,UA,8.1
184. 12 Years a Slave,2013,2h 14m,A,8.1
185. Before Sunrise,1995,1h 41m,16,8.1
186. The Grand Budapest Hotel,2014,1h 39m,UA,8.1
187. Ben-Hur,1959,3h 32m,U,8.1
188. Barry Lyndon,1975,3h 5m,U,8.1
189. Gone Girl,2014,2h 29m,A,8.1
190. The Gold Rush,1925,1h 35m,Passed,8.1
191. Hacksaw Ridge,2016,2h 19m,A,8.1
192. In the Name of the Father,1993,2h 13m,UA,8.1
193. Salinui Chueok,2003,2h 11m,UA,8.1
194. On the Waterfront,1954,1h 48m,A,8.1
195. The General,1926,1h 18m,Passed,8.1
196. The Deer Hunter,1978,3h 3m,A,8.1
197. Dead Poets Society,1989,2h 8m,U,8.1
198. Relatos Salvajes,2014,2h 2m,18,8.1
199. Mad Max: Fury Road,2015,2h,UA,8.1
200. Smultronstället,1957,1h 31m,U,8.1
201. Sherlock Jr.,1924,45m,Passed,8.2
202. The Third Man,1949,1h 44m,U,8.1
203. Le Salaire De La Peur,1953,2h 11m,U,8.2
"204. Monsters, Inc.",2001,1h 32m,U,8.1
205. Jaws,1975,2h 4m,A,8.1
206. How to Train Your Dragon,2010,1h 38m,U,8.1
207. Mr. Smith Goes to Washington,1939,2h 9m,U,8.1
208. Mary and Max,2009,1h 32m,U,8.1
209. Ford v. Ferrari,2019,2h 32m,UA,8.1
210. Ratatouille,2007,1h 51m,U,8.1
211. Det Sjunde Inseglet,1957,1h 36m,A,8.1
212. Room,2015,1h 58m,U,8.1
213. The Big Lebowski,1998,1h 57m,UA,8.1
214. Tokyo Story,1953,2h 16m,U,8.1
215. Rocky,1976,2h,U,8.1
216. Hotel Rwanda,2004,2h 1m,UA,8.1
217. Logan,2017,2h 17m,A,8.1
218. Spotlight,2015,2h 9m,A,8.1
219. Platoon,1986,2h,UA,8.1
220. The Terminator,1984,1h 47m,A,8.1
221. La passion de Jeanne d'Arc,1928,1h 50m,Passed,8.1
222. Jai Bhim,2021,2h 44m,A,8.7
223. Before Sunset,2004,1h 20m,A,8.1
224. The Best Years of Our Lives,1946,2h 50m,Approved,8.1
225. La haine,1995,1h 38m,Not Rated,8.1
226. Rush,2013,2h 3m,R,8.1
227. The Exorcist,1973,2h 2m,A,8.1
228. Network,1976,2h 1m,UA,8.1
229. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,UA,8.1
230. Stand by Me,1986,1h 29m,U,8.1
231. The Wizard of Oz,1939,1h 42m,U,8.1
232. The Incredibles,2004,1h 55m,U,8.0
233. Into the Wild,2007,2h 28m,U,8.1
234. Hachi: A Dog's Tale,2009,1h 33m,U,8.1
235. Ah-ga-ssi,2016,2h 25m,A,8.1
236. To Be or Not to Be,1942,1h 39m,Passed,8.1
237. My Father and My Son,2005,1h 52m,Not Rated,8.2
238. The Grapes of Wrath,1940,2h 9m,Passed,8.1
239. Groundhog Day,1993,1h 41m,U,8.0
240. La battaglia di Algeri,1966,2h 1m,Not Rated,8.1
241. The Sound of Music,1965,2h 52m,U,8.1
242. Amores perros,2000,2h 34m,A,8.1
243. Rebecca,1940,2h 10m,Approved,8.1
244. Cool Hand Luke,1967,2h 7m,A,8.1
245. The Iron Giant,1999,1h 26m,U,8.1
246. The Help,2011,2h 26m,UA,8.1
247. It Happened One Night,1934,1h 45m,Passed,8.1
248. The 400 Blows,1959,1h 39m,U,8.1
249. Gangs of Wasseypur,2012,5h 21m,A,8.2
250. Drishyam,2015,2h 43m,UA,8.2
